Time,Open,High,Low,Close
2021-06-25,34663.08,35500.0,31275.0,31584.45
2021-06-26,31576.09,32730.0,30151.0,32283.65
2021-06-27,32283.65,34749.0,31973.45,34700.34
2021-06-28,34702.49,35297.71,33862.72,34494.89
2021-06-29,34494.89,36600.0,34225.43,35911.73
2021-06-30,35911.72,36100.0,34017.55,35045.0
2021-07-01,35045.0,35057.57,32711.0,33504.69
2021-07-02,33502.33,33977.04,32699.0,33786.55
2021-07-03,33786.54,34945.61,33316.73,34669.13
2021-07-04,34669.12,35967.85,34357.15,35286.51
2021-07-05,35288.13,35293.78,33125.55,33690.14
2021-07-06,33690.15,35118.88,33532.0,34220.01
2021-07-07,34220.02,35059.09,33777.77,33862.12
2021-07-08,33862.11,33929.64,32077.0,32875.71
2021-07-09,32875.71,34100.0,32261.07,33815.81
2021-07-10,33815.81,34262.0,33004.78,33502.87
2021-07-11,33502.87,34666.0,33306.47,34258.99
2021-07-12,34259.0,34678.43,32658.34,33086.63
2021-07-13,33086.94,33340.0,32202.25,32729.77
2021-07-14,32729.12,33114.03,31550.0,32820.02
2021-07-15,32820.03,33185.25,31133.0,31880.0
2021-07-16,31874.49,32249.18,31020.0,31383.87
2021-07-17,31383.86,31955.92,31164.31,31520.07
2021-07-18,31520.07,32435.0,31108.97,31778.56
2021-07-19,31778.57,31899.0,30407.44,30839.65
2021-07-20,30839.65,31063.07,29278.0,29790.35
2021-07-21,29790.34,32858.0,29482.61,32144.51
2021-07-22,32144.51,32591.35,31708.0,32287.83
2021-07-23,32287.58,33650.0,31924.32,33634.09
2021-07-24,33634.1,34500.0,33401.14,34258.14
2021-07-25,34261.51,35398.0,33851.12,35381.02
2021-07-26,35381.02,40550.0,35205.78,37237.6
2021-07-27,37241.33,39542.61,36383.0,39457.87
2021-07-28,39456.61,40900.0,38772.0,40019.56
2021-07-29,40019.57,40640.0,39200.0,40016.48
2021-07-30,40018.49,42316.71,38313.23,42206.37
2021-07-31,42206.36,42448.0,41000.15,41461.83
2021-08-01,41461.84,42599.0,39422.01,39845.44
2021-08-02,39850.27,40480.01,38690.0,39147.82
2021-08-03,39146.86,39780.0,37642.03,38207.05
2021-08-04,38207.04,39969.66,37508.56,39723.18
2021-08-05,39723.17,41350.0,37332.7,40862.46
2021-08-06,40862.46,43392.43,39853.86,42836.87
2021-08-07,42836.87,44700.0,42446.41,44572.54
2021-08-08,44572.54,45310.0,43261.0,43794.37
2021-08-09,43794.36,46454.15,42779.0,46253.4
2021-08-10,46248.87,46700.0,44589.46,45584.99
2021-08-11,45585.0,46743.47,45341.14,45511.0
2021-08-12,45510.67,46218.12,43770.0,44399.0
2021-08-13,44400.06,47886.0,44217.39,47800.0
2021-08-14,47799.99,48144.0,45971.03,47068.51
2021-08-15,47068.5,47372.27,45500.0,46973.82
2021-08-16,46973.82,48053.83,45660.0,45901.29
2021-08-17,45901.3,47160.0,44376.0,44695.95
2021-08-18,44695.95,46000.0,44203.28,44705.29
2021-08-19,44699.37,47033.0,43927.7,46760.62
2021-08-20,46760.62,49382.99,46622.99,49322.47
2021-08-21,49322.47,49757.04,48222.0,48821.87
2021-08-22,48821.88,49500.0,48050.0,49239.22
2021-08-23,49239.22,50500.0,49029.0,49488.85
2021-08-24,49488.85,49860.0,47600.0,47674.01
2021-08-25,47674.01,49264.3,47126.28,48973.32
2021-08-26,48973.32,49352.84,46250.0,46843.87
2021-08-27,46843.86,49149.93,46348.0,49069.9
2021-08-28,49069.9,49299.0,48346.88,48895.35
2021-08-29,48895.35,49632.27,47762.54,48767.83
2021-08-30,48767.84,48888.61,46853.0,46982.91
2021-08-31,46982.91,48246.11,46700.0,47100.89
2021-09-01,47100.89,49156.0,46512.0,48810.52
2021-09-02,48810.51,50450.13,48584.06,49246.64
2021-09-03,49246.63,51000.0,48316.84,49999.14
2021-09-04,49998.0,50535.69,49370.0,49915.64
2021-09-05,49917.54,51900.0,49450.0,51756.88
2021-09-06,51756.88,52780.0,50969.33,52663.9
2021-09-07,52666.2,52920.0,42843.05,46863.73
2021-09-08,46868.57,47340.99,44412.02,46048.31
2021-09-09,46048.31,47399.97,45513.08,46395.14
2021-09-10,46395.14,47033.0,44132.29,44850.91
2021-09-11,44842.2,45987.93,44722.22,45173.69
2021-09-12,45173.68,46460.0,44742.06,46025.24
2021-09-13,46025.23,46880.0,43370.0,44940.73
2021-09-14,44940.72,47250.0,44594.44,47111.52
2021-09-15,47103.28,48500.0,46682.32,48121.41
2021-09-16,48121.4,48557.0,47021.1,47737.82
2021-09-17,47737.81,48150.0,46699.56,47299.98
2021-09-18,47299.98,48843.2,47035.56,48292.74
2021-09-19,48292.75,48372.83,46829.18,47241.75
2021-09-20,47241.75,47347.25,42500.0,43015.62
2021-09-21,43016.64,43639.0,39600.0,40734.38
2021-09-22,40734.09,44000.55,40565.39,43543.61
2021-09-23,43546.37,44978.0,43069.09,44865.26
2021-09-24,44865.26,45200.0,40675.0,42810.57
2021-09-25,42810.58,42966.84,41646.28,42670.64
2021-09-26,42670.63,43950.0,40750.0,43160.9
2021-09-27,43160.9,44350.0,42098.0,42147.35
2021-09-28,42147.35,42787.38,40888.0,41026.54
2021-09-29,41025.01,42590.0,40753.88,41524.28
2021-09-30,41524.29,44141.37,41410.17,43824.1
2021-10-01,43820.01,48495.0,43283.03,48141.61
